"indice","convocatoria","colectiva_nombre","colectiva_url","pais","ciudad","actividad_fecha","actividad_hora","actividad_localizacion","actividad_localizacion_latitude","actividad_localizacion_longitude","actividad_localizacion_altitude","actividad_localizacion_precision","actividad_direccion","actividad_url_imagen","actividad_url_convocatoria","actividad_trans_incluyente"
"1","2025","8 Muyeres en Bici","@8Muyeresenbici","ES","Xixón - Gijón","2025-03-01","11:30:00","43.545054 -5.662122 0 0","43.545054","-5.662122","0.0","0.0","Plaza Mayor. 33201 Xixón - Gijón","{{https://x.com/8Muyeresenbici/status/1895755310301950411/photo/1}}","https://www.instagram.com/p/DGi1-D-It8a/",""
"2","2025","Ayuntamiento de Alfaro","https://www.instagram.com/ayuntamiento_de_alfaro_?igsh=MXh3aTE1ZGxiZXdzZQ==","ES","Alfaro","2025-03-08","10:00:00","42.1783 -1.7475 0 0","42.1783","-1.7475","0.0","0.0","Plaza de España, 1","{{https://www.instagram.com/p/DGm_oEQMFUl/?igsh=emZkZ3J2ZWZ5OXZj}}","",""
"3","2025","Massa Crítica Barcelona","https://www.instagram.com/massacriticabcn/","ES","Barcelona","2025-03-07","20:00:00","41.391143 2.180536 0 0","41.391143","2.180536","0.0","0.0",".08018 Barcelona","{{https://scontent.fbcn7-2.fna.fbcdn.net/v/t51.75761-15/482085251_18443909575079996_2790941199341523209_n.jpg?stp=dst-jpg_tt6&_nc_cat=108&ccb=1-7&_nc_sid=127cfc&_nc_ohc=dA3zzm_fQD8Q7kNvgHJnhs2&_nc_oc=AdhZHkqHbXCdVH8Dd4No9I6rGZeH2IIg_CfoPuiLuH8WJwk7DL6LSAo61iLLeVEPUhs&_nc_zt=23&_nc_ht=scontent.fbcn7-2.fna&_nc_gid=Ap9cFjofqZm_zI4tS4lkfUJ&oh=00_AYAssQUfOb56N7siv8nA4h3FcJ7QlORdiz5HaikpPS_0yQ&oe=67C8DF42}}","https://www.instagram.com/p/DGoRDqQuZ1U/",""
"4","2025","Sindicat d'Estudiants","https://sindicatdestudiants.net/","ES","Barcelona","2025-03-07","12:00:00","41.385742 2.163868 0 0","41.385742","2.163868","0.0","0.0","Plaça Universitat. 08007 Barcelona","{{https://sindicatdestudiants.net/images/2025/Gener/7M2025-CAT_cartell.jpg}}","https://sindicatdestudiants.net/images/2025/Gener/7M2025-CAT_full.pdf",""
"5","2025","Sindicat d'Estudiants","https://sindicatdestudiants.net/","ES","Barcelona","2025-03-07","12:00:00","41.119076 1.245385 0 0","41.119076","1.245385","0.0","0.0","Plaça Imperial Tarraco. 43005 Tarragona","{{https://sindicatdestudiants.net/images/2025/Gener/7M2025-CAT_cartell.jpg}}","https://sindicatdestudiants.net/images/2025/Gener/7M2025-CAT_full.pdf",""
"6","2025","Sindicato de Estudiantes","https://www.sindicatodeestudiantes.net/","ES","Gijón - Xixón","2025-03-07","12:00:00","43.54127 -5.662152 0 0","43.54127","-5.662152","0.0","0.0","Pl. del Instituto, Centro, 33201 Gijón - Xixón","{{https://www.sindicatodeestudiantes.net/images/2025/enero/7M/250201_11.jpg#joomlaImage://local-images/2025/enero/7M/250201_11.jpg?width=900&height=600}}","https://www.sindicatodeestudiantes.net/index.php/noticias/feminismo-revolucionario/7m-huelga-estudiantil-feminista",""
"7","2025","Sindicato de Estudiantes","https://www.sindicatodeestudiantes.net/","ES","Oviedo - Uviéu","2025-03-07","12:00:00","43.362194 -5.848052 0 0","43.362194","-5.848052","0.0","0.0","Plaza de la Escandalera. Oviedo - Uviéu","{{https://www.sindicatodeestudiantes.net/images/2025/enero/7M/250201_11.jpg#joomlaImage://local-images/2025/enero/7M/250201_11.jpg?width=900&height=600}}","https://www.sindicatodeestudiantes.net/index.php/noticias/feminismo-revolucionario/7m-huelga-estudiantil-feminista",""
"8","2025","Geofeministas","https://www.instagram.com/geofeministas/","MX","Ciudad de México","2025-03-09","17:00:00","19.522906 -99.125785 0 0","19.522906","-99.125785","0.0","0.0","Actividad remota","{{https://drive.google.com/file/d/1yOS-qLM4mU3SmkuuzAuAr4IyejiGL186/view?usp=sharing}}","",""
"9","2025","El Taller, Centro de Sensibilización y Educación Humana A. C.","www.instagram.com/lasnahualasdeltaller","MX","Puebla","2025-03-04","17:00:00","19.047281 -98.191754 0 0","19.047281","-98.191754","0.0","0.0","Privada Primera Central 417 Colonia San Francisco CP. 72000 Puebla, Puebla","{{https://scontent.fpbc6-1.fna.fbcdn.net/v/t39.30808-6/481006342_655618340309722_7916823583918847456_n.jpg?_nc_cat=109&ccb=1-7&_nc_sid=833d8c&_nc_eui2=AeFSNoNfYEEfRzeZjU-RgIncCgK7IQu2bM4KArshC7ZszgYTIPeD_JxsWk_vjhWAwOg&_nc_ohc=FSywMTZ9CPoQ7kNvgH_ucAr&_nc_oc=Adjt1Onr2QYQ5Or6-ZPxrztmBNjJNKrmKNGCVyQTA-YQPR6IJeyYW2NLQbMnAY2E94ghJz8GJpzbcRrqWGhfi3aJ&_nc_zt=23&_nc_ht=scontent.fpbc6-1.fna&_nc_gid=Anq6Of9i-wyUhIXTXg9j1B_&oh=00_AYDOeCHyjFyEwCD6766ewaTkpq4WBSzuN4d3VE8ZL-tSPQ&oe=67C918DA}}","",""
"10","2025","El Taller, Centro de Sensibilización y Educación Humana A. C.","www.instagram.com/lasnahualasdeltaller","MX","Puebla","2025-03-08","10:00:00","19.03096 -98.201725 0 0","19.03096","-98.201725","0.0","0.0","Boulevard Héroes del 5 de Mayo 31 Oriente, Ladrillera de Benítez, 72530 Puebla, Pue. MX","{{https://scontent.fpbc6-1.fna.fbcdn.net/v/t39.30808-6/481214206_656398983564991_5184975738873990577_n.jpg?_nc_cat=111&ccb=1-7&_nc_sid=833d8c&_nc_eui2=AeFmXcMaMSFKEBzovj3zFAohQ0xWBLTBLIhDTFYEtMEsiOTiJzu0-PRPFuF-rSePyRM&_nc_ohc=Z3dqXTA5P6wQ7kNvgEKkRTQ&_nc_oc=Adg_3RcZPr-4MsdgQB4myqpmlMxvUHZoV7SqSk_Fmi0LKMCr8P4k0QJ7EPYGmWLzFmTKjF0ZO-LW2lLtz3eYSf0p&_nc_zt=23&_nc_ht=scontent.fpbc6-1.fna&_nc_gid=AMaT5_jB4gXaoAqt73tlHwr&oh=00_AYAtGU5LI-Rov2V9Y4rpFYvls333WO_AhWxz2r6e4dEYhw&oe=67C935CA}}","",""
