"convocatoria","colectiva_nombre","colectiva_url","pais","ciudad","actividad_fecha","actividad_hora","actividad_localizacion","actividad_localizacion_latitude","actividad_localizacion_longitude","actividad_localizacion_altitude","actividad_localizacion_precision","actividad_direccion","actividad_url_imagen","actividad_url_convocatoria"
"2024","Assemblea #8M","","ES","Barcelona","2024-03-09","20:30:00","41.375203 2.169588 0 0","41.375203","2.169588","0.0","0.0","PARAL·LEL 62, Barcelona","{{https://paral-lel62.cat/wp-content/uploads/2024/02/680x370_8M.jpg}}",""
"2024","ASTURIES 8M","","ES","La Felguera - Llangréu","2024-03-08","19:00:00","43.313512 -5.69332 0 0","43.313512","-5.69332","0.0","0.0","Parque Antonio García Lago. La Felguera. Llangréu. Astúries","{{https://scontent.fbcn7-2.fna.fbcdn.net/v/t39.30808-6/424879653_426066173108934_555386224493365020_n.jpg?_nc_cat=101&ccb=1-7&_nc_sid=783fdb&_nc_ohc=w55ihaL6OEwAX_alCWu&_nc_ht=scontent.fbcn7-2.fna&oh=00_AfBYCx1ybUbNcA6ItU7w4KJgC9B9WgbCxuik7seq2VRy8A&oe=65DA72B3}}","https://www.instagram.com/p/C3hv0j-syJy/"
"2024","ASSEMBLEA 8M CATALUNYA","https://assemblea8m.cat/","ES","Barcelona","2024-03-08","18:00:00","41.396828 2.159117 0 0","41.396828","2.159117","0.0","0.0","Jardinets de Gràcia, Barcelona","{{https://assemblea8m.cat/wp-content/uploads/2024/02/8m2024.jpg}}",""
"2024","8 Muyeres en bici","https://www.instagram.com/8muyeresenbici/","ES","Xixón","2024-03-02","11:30:00","43.544993 -5.662581 0 0","43.544993","-5.662581","0.0","0.0","Plaza Mayor, Xixón-Gijón","{{https://pbs.twimg.com/media/GGuucziXcAEbfhf?format=jpg&name=large}}","https://pbs.twimg.com/media/GGuucziXcAEbfhf?format=jpg&name=large"
"2024","8M: Música i tecnologia a les grades","https://canodrom.barcelona/es","ES","Barcelona","2024-03-01","17:00:00","41.42748 2.183357 0 0","41.42748","2.183357","0.0","0.0","C/ de Concepción Arenal, 165 08027 Barcelona","{{https://comunitat.canodrom.barcelona/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBcUFjIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--625e183f89fbcb77445f2430a7f96efb341a1449/imatge.png}}","https://comunitat.canodrom.barcelona/assemblies/comunitat/f/1651/meetings/2762"
"2024","AFA d'Escola Rambleta del Clot","https://www.afarambletadelclot.cat/","ES","Barcelona","2024-03-08","15:30:00","41.418489 2.187861 0 1399.9990234375","41.418489","2.187861","0.0","1399.9990234375","Carrer Aragó 620","{{https://www.instagram.com/p/C3ahfohoi60/?utm_source=ig_web_copy_link}}","https://www.instagram.com/p/C3ahfohoi60/?utm_source=ig_web_copy_link"
"2024","Asturies Feminista 8M","https://www.instagram.com/asturiesfeminista8m/","ES","La Felguera","2024-03-08","19:00:00","43.316138 -5.699144 0 0","43.316138","-5.699144","0.0","0.0","Parque Antonio García Lago, La Felguera","{{https://www.instagram.com/p/C3hv0j-syJy/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==}}","¡Nos vemos en las calles! A golpe de tacón, dando tira"
"2024","COLECTIVA ""MUJER-ES EN PRIMERA PERSONA""","","MX","ESTADO DE MÉXICO","2024-03-10","09:00:00","19.386536 -99.007345 0 0","19.386536","-99.007345","0.0","0.0","https://www.google.com/maps/place/Foro+Cultural+La+Vieja+Scuela/@19.5743814,-99.2017099,17z/data=!4m14!1m7!3m6!1s0x85d21d82345349f7:0xc21fb930728cad4f!2sForo+Cultural+La+Vieja+Scuela!8m2!3d19.5743815!4d-99.1968443!16s%2Fg%2F11b5qs1l7c!3m5!1s0x85d21d82345349f7:0xc21fb930728cad4f!8m2!3d19.5743815!4d-99.1968443!16s%2Fg%2F11b5qs1l7c?entry=ttu","{{https://www.facebook.com/rose.ginebra?locale=es_LA}}","https://www.facebook.com/rose.ginebra?locale=es_LA"
"2024","Colectiva Mujer-Es en primera persona","https://www.facebook.com/groups/192172478017147?locale=es_LA","MX","Estado de México","2024-03-10","09:00:00","19.388244 -99.012053 0 14.666","19.388244","-99.012053","0.0","14.666","https://www.google.com.mx/maps/place/Foro+Cultural+La+Vieja+Scuela/@19.3989449,-99.1691056,11z/data=!4m9!1m2!2m1!1sla+vieja+scuela!3m5!1s0x85d21d82345349f7:0xc21fb930728cad4f!8m2!3d19.5743815!4d-99.1968443!16s%2Fg%2F11b5qs1l7c?entry=ttu","{{https://www.google.com.mx/maps/place/Foro+Cultural+La+Vieja+Scuela/@19.3989449,-99.1691056,11z/data=!4m9!1m2!2m1!1sla+vieja+scuela!3m5!1s0x85d21d82345349f7:0xc21fb930728cad4f!8m2!3d19.5743815!4d-99.1968443!16s%2Fg%2F11b5qs1l7c?entry=ttu}}","https://www.facebook.com/groups/192172478017147?locale=es_LA"
"2024","Fem Atlacomulco","https://www.facebook.com/profile.php?id=100090637986363&mibextid=ZbWKwL","MX","Atlacomulco","2024-03-08","12:00:00","19.784273 -99.900112 2517.699951171875 324.8800048828125","19.784273","-99.900112","2517.699951171875","324.8800048828125","Av. Isidro Fabela. Atlacomulco","{{https://www.facebook.com/share/p/U1azKXW4siKx165m/?mibextid=oFDknk}}","https://www.facebook.com/share/p/U1azKXW4siKx165m/?mibextid=oFDknk"
